Sno,Title,Bed,Bath,Price,Parking,Central Heating,Washing Machine,Dryer,Dishwasher,Internet,Garden / Patio / Balcony,Microwave,Gym,Pets Allowed
103,"Number 1 Ballsbridge, Shelbourne Road, Dublin 4",2 Bed,3 Bath,"€4,500 per month",1,1,1,1,1,1,1,1,1,1
104,"38 Ballsbridge Gardens, Crampton Avenue, Dublin 4, Sandymount, Dublin 4",2 Bed,2 Bath,"€3,200 per month",1,1,1,1,1,0,1,1,0,0
105,"Daneswell Place, Botanic Road, Glasnevin, Dublin 9, Glasnevin, Dublin 9",N/A,N/A,"€1,650 per month",1,1,1,1,1,1,1,1,0,0
106,"LISMORE PARK , Waterford City Centre",4 Bed,2 Bath,€125 per week,1,1,1,1,1,1,0,1,0,1
107,"Apartment 431, Olcovar, Dublin 18, Rathmichael, Co. Dublin",1 Bed,1 Bath,€900 per month,1,1,1,0,1,1,1,1,0,0
108,"Tara Street, Dublin 2",2 Bed,1 Bath,"€3,000 per month",0,1,1,1,1,1,1,1,0,0
109,"The Brook,Farmleigh,Riverstown,Birr,Co. Tipperary, Riverstown, Co. Tipperary",4 Bed,3 Bath,"€1,850 per month",1,1,1,1,1,0,1,1,0,1
110,"North Circular Road, Dublin 7, Stoneybatter, Dublin 7",2 Bed,1 Bath,"€1,400 per month",1,1,1,1,0,1,0,1,0,0
111,"Apartment 36, The Barrington, Lansdowne Place, Dub, Ballsbridge, Dublin 4",2 Bed,1 Bath,"€5,500 per month",1,1,1,1,1,1,1,1,0,1
112,"Priory Court, St. Michael's Road, Gorey, Co. Wexford",2 Bed,2 Bath,"€1,650 per month",1,1,1,1,1,1,1,1,0,0
113,"Clare Island, Westport, Co. Mayo",3 Bed,3 Bath,"€1,200 per month",1,1,1,1,1,1,1,1,0,0
114,"Redington Woods, Clarinbridge, Co. Galway",4 Bed,5 Bath,"€5,000 per month",1,1,1,1,1,0,1,1,0,0
115,"Redgap, Rathcoole, Co. Dublin",N/A,N/A,"€1,500 per month",1,1,0,0,0,1,0,1,0,0
116,"Navan Town centre, Navan, Co. Meath",1 Bed,1 Bath,"€1,675 per month",0,1,1,1,0,0,0,1,0,0
117,"Caragh,Naas,Co. Kildare, Carragh, Co. Kildare",3 Bed,1 Bath,"€1,800 per month",1,1,1,1,1,0,0,1,0,0
118,"Abbey View, Monkstown, Blackrock, Co. Dublin",N/A,1 Bath,"€2,200 per month",1,1,1,1,1,1,1,1,0,0
119,"The Main Square, Beggar's Bush, Haddington Road, Ballsbridge, Dublin 4",2 Bed,1 Bath,"€3,300 per month",1,1,1,1,1,1,1,0,0,0
120,"Saint Joseph'S Avenue,Dublin 9, Drumcondra, Dublin 9",1 Bed,1 Bath,"€1,850 per month",0,1,1,1,0,1,1,1,0,0
121,"Apartment 5, 98/99 Francis Street, Dublin 8, Christchurch, Dublin 8",1 Bed,1 Bath,"€2,034 per month",0,1,1,1,1,1,1,1,0,0
122,"ballinroad, Dungarvan, Co. Waterford",3 Bed,2 Bath,"€1,800 per month",1,1,1,1,1,1,1,1,0,0
123,"31 Garville Lane, Rathgar, Dublin 6",4 Bed,4 Bath,"€6,000 per month",1,1,1,1,1,1,1,1,0,0
124,"Bannow Road, Dublin 7, Cabra, Dublin 7",3 Bed,1 Bath,"€3,200 per month",1,1,1,1,1,0,1,0,0,0
125,"Havelock Square, Sandymount, Dublin 4",2 Bed,2 Bath,"€6,500 per month",0,1,1,1,1,0,1,0,0,0
126,"The Granary, Dublin 8",2 Bed,2 Bath,"€2,850 per month",1,1,1,1,1,0,0,1,0,1
127,"Dean Street, City Centre, Dublin 8",2 Bed,1 Bath,"€2,853 per month",0,1,1,0,1,1,1,1,0,0
128,"Ballinroad,Dungarvan,Co. Waterford, Dungarvan, Co. Waterford",4 Bed,3 Bath,"€2,250 per month",1,1,1,1,1,1,1,1,0,0
129,"4a Douglas West, Douglas, Cork, Douglas, Co. Cork",3 Bed,1 Bath,€900 per month,0,1,1,1,1,1,0,1,0,0
130,"military road killiney , Killiney, Co. Dublin",2 Bed,1 Bath,"€5,500 per month",1,1,1,1,1,0,1,0,0,0
131,"St. Patrick's Close, Dublin 2, Dublin 2",1 Bed,1 Bath,"€2,100 per month",0,1,1,1,0,1,0,1,0,0
132,"Trinity College, Dublin 2",1 Bed,1 Bath,"€2,100 per month",0,1,1,1,0,1,0,1,0,0
133,"Heytesbury Lane, Ballsbridge, Dublin 4",4 Bed,4 Bath,"€10,000 per month",1,1,1,1,1,1,1,1,0,1
134,"Cliff Road, behind The Dock Boutique Hotel, Rosslare Harbour, Co. Wexford",6 Bed,4 Bath,"€2,100 per week",1,1,1,1,1,1,1,1,0,0
135,"10 Chapel Street, Athlone, Athlone, Co. Westmeath",2 Bed,1 Bath,"€1,500 per month",0,1,1,1,1,0,0,0,0,0
136,"Near Moycullen, Moycullen, Co. Galway",3 Bed,1 Bath,"€1,995 per month",1,1,1,1,1,1,1,1,0,1
137,"1 Cim Na Carraige, Rockcorry, Monaghan, Rockcorry, Co. Monaghan",3 Bed,1 Bath,"€1,400 per month",1,1,0,0,0,0,0,1,0,0
138,"Apt 48, Eaglewood, Rochestown Avenue, Dun Laoghaire, Dun Laoghaire, Co. Dublin",2 Bed,2 Bath,"€1,900 per month",1,1,1,1,1,1,1,1,0,0
139,"62 Beresford House, Custom House Square, I.F.S.C., Dublin 1, IFSC, Dublin 1",2 Bed,1 Bath,"€2,850 per month",1,0,1,1,1,0,1,1,0,0
140,"2 Weston Wood, Cookstown, Ashbourne, Ashbourne, Co. Meath",3 Bed,3 Bath,"€3,200 per month",1,1,1,1,1,1,0,0,0,0
141,"46 Dn Ir Avenue, Dublin 18, Carrickmines, Dublin 18",3 Bed,2 Bath,"€2,500 per month",1,1,1,1,1,0,1,1,0,0
142,"6 Woodville Walk, Lucan, Lucan, Co. Dublin",4 Bed,3 Bath,"€2,750 per month",1,1,1,0,1,1,1,1,0,0
143,"Enniskerry Village, Co. Wicklow, Enniskerry, Co. Wicklow",1 Bed,1 Bath,"€2,000 per month",0,1,1,0,1,1,0,0,0,0
144,"20 Clyde Road, Dublin 4, Donnybrook, Dublin 4",2 Bed,2 Bath,"€3,500 per month",1,1,1,1,1,1,1,1,0,0
145,"4 Corcorans Apartments, Main Street, Ballyhale, Ki, Ballyhale, Co. Kilkenny",1 Bed,1 Bath,€905 per month,1,1,1,0,0,0,0,1,0,0
146,"1a Slievebloom Park, Dublin 12, Inchicore, Dublin 8",1 Bed,1 Bath,"€1,750 per month",1,1,1,1,0,1,1,1,0,0
147,"1 bedroom apartment in South Circular Road, Dublin 8, Dolphin's Barn, Dublin 8",1 Bed,1 Bath,"€1,750 per month",0,1,1,1,0,0,0,1,0,0
148,"Aisling Place, Navan, Co. Meath, Navan, Co. Meath",3 Bed,2 Bath,"€2,250 per month",1,1,1,0,1,0,1,1,0,0
149,"Shanagolden, Foynes, Co. Limerick",1 Bed,1 Bath,"€1,600 per month",1,1,1,0,0,1,0,1,0,0
150,"Newbridge , Milltown, Co. Kildare",1 Bed,1 Bath,"€1,400 per month",1,1,0,0,0,0,1,1,0,0
151,"Mill House, Levitstown, Athy, Maganey, Co. Kildare",2 Bed,2 Bath,"€1,750 per month",1,1,1,1,1,1,1,1,0,0
152,"95 Shrewsbury, Dublin 4, Ballsbridge, Dublin 4",2 Bed,1 Bath,"€3,000 per month",0,0,0,0,0,0,0,0,0,0
153,"Talbot Suites at Stonebridge, Wexford Town, Co. Wexford",2 Bed,2 Bath,"€1,950 per month",1,1,1,1,1,1,1,1,0,0
154,"Apartment 96, Adelaide Square, Whitefriar Street, Dublin City Centre",2 Bed,2 Bath,"€2,629 per month",0,1,1,1,1,0,1,1,0,0
155,"The Red House, Main Street, Ballinspittle, Co. Cork",3 Bed,1 Bath,"€1,800 per month",1,0,1,1,0,0,0,1,0,0
156,"Douglas,Cork, Douglas, Co. Cork",4 Bed,1 Bath,"€1,075 per week",1,1,1,1,1,1,1,1,0,0
157,"Caherslee, Killmey, Co. Kerry",3 Bed,3 Bath,"€1,500 per month",1,1,1,0,1,0,1,1,0,0
158,"Brinny House, Brinny, Innishannon, Cork, Kilpatrick, Co. Cork",1 Bed,1 Bath,"€1,166 per month",1,1,0,0,0,1,1,0,0,0
159,"23 The Cottages, Ballintemple, Cork, Ballintemple, Co. Cork",2 Bed,1 Bath,"€2,180 per month",0,1,1,1,1,0,1,1,0,0
160,"92 Crumlin Road, Dublin 12, Rialto, Dublin 8",1 Bed,1 Bath,"€1,200 per month",0,1,1,1,0,0,0,1,0,0
161,"202 Upper Salthill, Galway, Salthill, Co. Galway",3 Bed,2 Bath,"€1,250 per week",1,1,1,1,0,0,0,1,0,0
162,"4 Slade Castle Lane, Slade Castle Court, Saggart, Saggart, Co. Dublin",2 Bed,2 Bath,"€2,200 per month",1,1,1,0,1,1,1,1,0,0
163,"Apartment 16, Frascati Hall, Sweetman'S Avenue, Bl, Blackrock, Co. Dublin",2 Bed,2 Bath,"€2,900 per month",1,1,1,1,1,1,1,1,0,1
164,"Cedarhurst Road, Phoenix Park Racecourse, Castleknock, D15, Navan Road (D7), Dublin 7",2 Bed,2 Bath,"€2,550 per month",1,1,1,0,1,1,1,1,0,0
165,"Earlwood Estate, The Lough, Cork, The Lough, Co. Cork",3 Bed,4 Bath,"€3,500 per month",1,1,1,0,1,1,1,1,0,0
166,"Shelbourne Square,North Circular Road,Limerick, North Circular Road, Co. Limerick",5 Bed,5 Bath,€900 per month,1,1,1,1,1,1,1,1,0,0
167,"73 Shrewsbury, Ballsbridge, Dublin 4, Ballsbridge, Dublin 4",3 Bed,2 Bath,"€5,000 per month",1,1,1,1,1,1,1,1,0,1
168,"Tybroughney, Piltown, Piltown, Co. Kilkenny",3 Bed,1 Bath,"€1,500 per month",1,1,1,0,0,1,1,1,0,0
169,"The Paddocks, Hybreasal, South Circular Road, Kilmainham, Dublin 8",1 Bed,1 Bath,"€1,530 per month",1,1,1,1,0,1,1,1,0,0
170,"East Road,Dublin 3, East Wall, Dublin 3",1 Bed,1 Bath,"€1,750 per month",0,1,1,1,1,0,0,1,0,0
171,"Batterstown, Dunboyne, Co. Meath",2 Bed,1 Bath,"€1,875 per month",1,1,1,0,1,0,1,1,0,0
172,"Ushers Quay,Dublin 8, Christchurch, Dublin 8",1 Bed,1 Bath,"€2,100 per month",0,1,1,1,0,1,1,1,0,0
173,"57 Lawrence Grove, Dublin 3, Dublin 3",4 Bed,3 Bath,"€3,800 per month",1,1,1,0,0,1,1,1,0,0
174,"58 Copeland Avenue, Clontarf, Dublin 3",3 Bed,1 Bath,"€3,200 per month",1,1,1,0,1,1,1,1,0,0
175,"4 Eaton Way, Dublin 18, Shankill, Dublin 18",4 Bed,3 Bath,"€4,250 per month",0,0,0,0,0,0,0,0,0,0
176,"306 Navan Road, Dublin 7, Ashtown, Dublin 7",3 Bed,1 Bath,"€4,000 per month",1,1,1,0,1,1,1,1,0,0
177,"Blanchardstown Village, Blanchardstown, Dublin 15",1 Bed,1 Bath,"€1,350 per month",0,1,1,1,0,1,0,0,0,0
178,"97 Riversdale, Rathcormac, Fermoy, Rathcormac, Co. Cork",4 Bed,3 Bath,"€1,428 per month",1,1,1,0,1,0,1,1,0,0
179,"Market Square,Charlestown,Claremorris,Co. Mayo, Charlestown, Co. Mayo",2 Bed,1 Bath,"€1,200 per month",0,1,1,1,1,0,0,1,0,0
180,"Monteverdi Green,Farmleigh,Waterford, Knockboy, Co. Waterford",3 Bed,1 Bath,"€2,200 per month",1,1,1,1,0,0,0,0,0,0
181,"Hillview, Mount Talbot, Clondalkin, Dublin 22, Clondalkin, Dublin 22",1 Bed,1 Bath,"€1,581 per month",1,0,1,0,1,0,0,0,0,0
182,"Block 8, Grand Canal Square Residences, Grand Canal Dock, Dublin 2",2 Bed,3 Bath,"€3,300 per month",0,1,1,1,1,0,0,1,0,0
183,"118 The Green, Clonard Village, Wexford, Wexford Town, Co. Wexford",2 Bed,2 Bath,"€1,250 per month",0,0,1,0,1,0,1,1,0,0
184,"Apartment, The Nicholson, Lansdowne Place, Ballsbridge, Dublin 4",2 Bed,2 Bath,"€10,000 per month",1,1,1,1,1,0,1,1,0,0
185,"Apartment, The Templeton, Lansdowne Place, Ballsbridge, Dublin 4",1 Bed,1 Bath,"€4,750 per month",1,1,1,1,1,0,0,1,0,0
186,"Elton Mews, Elton Court, Sandycove, Co. Dublin",3 Bed,3 Bath,"€6,500 per month",1,1,1,1,1,0,1,0,0,0
